Series ID,Year,Period,Label,Value
LNU04032183,2016,M01,2016 Jan,3.7
LNU04032183,2016,M02,2016 Feb,3.9
LNU04032183,2016,M03,2016 Mar,3.9
LNU04032183,2016,M04,2016 Apr,3.6
LNU04032183,2016,M05,2016 May,3.9
LNU04032183,2016,M06,2016 Jun,3.7
LNU04032183,2016,M07,2016 Jul,4.1
LNU04032183,2016,M08,2016 Aug,4.2
LNU04032183,2016,M09,2016 Sep,3.8
LNU04032183,2016,M10,2016 Oct,3.3
LNU04032183,2016,M11,2016 Nov,3.0
LNU04032183,2016,M12,2016 Dec,2.6
LNU04032183,2017,M01,2017 Jan,3.8
LNU04032183,2017,M02,2017 Feb,3.5
LNU04032183,2017,M03,2017 Mar,3.2
LNU04032183,2017,M04,2017 Apr,3.1
LNU04032183,2017,M05,2017 May,3.5
LNU04032183,2017,M06,2017 Jun,3.8
LNU04032183,2017,M07,2017 Jul,4.0
LNU04032183,2017,M08,2017 Aug,4.0
LNU04032183,2017,M09,2017 Sep,3.5
LNU04032183,2017,M10,2017 Oct,2.9
LNU04032183,2017,M11,2017 Nov,3.0
LNU04032183,2017,M12,2017 Dec,2.4
LNU04032183,2018,M01,2018 Jan,3.1
LNU04032183,2018,M02,2018 Feb,3.0
LNU04032183,2018,M03,2018 Mar,3.0
LNU04032183,2018,M04,2018 Apr,2.7
LNU04032183,2018,M05,2018 May,2.0
LNU04032183,2018,M06,2018 Jun,3.4
LNU04032183,2018,M07,2018 Jul,3.3
LNU04032183,2018,M08,2018 Aug,3.0
LNU04032183,2018,M09,2018 Sep,3.5
LNU04032183,2018,M10,2018 Oct,3.1
LNU04032183,2018,M11,2018 Nov,2.7
LNU04032183,2018,M12,2018 Dec,3.1
LNU04032183,2019,M01,2019 Jan,3.2
LNU04032183,2019,M02,2019 Feb,3.2
LNU04032183,2019,M03,2019 Mar,3.0
LNU04032183,2019,M04,2019 Apr,2.1
LNU04032183,2019,M05,2019 May,2.3
LNU04032183,2019,M06,2019 Jun,2.3
LNU04032183,2019,M07,2019 Jul,3.0
LNU04032183,2019,M08,2019 Aug,2.9
LNU04032183,2019,M09,2019 Sep,2.4
LNU04032183,2019,M10,2019 Oct,2.8
LNU04032183,2019,M11,2019 Nov,2.6
LNU04032183,2019,M12,2019 Dec,2.4
LNU04032183,2020,M01,2020 Jan,3.2
LNU04032183,2020,M02,2020 Feb,2.5
LNU04032183,2020,M03,2020 Mar,4.1
LNU04032183,2020,M04,2020 Apr,14.3
LNU04032183,2020,M05,2020 May,14.8
LNU04032183,2020,M06,2020 Jun,13.9
LNU04032183,2020,M07,2020 Jul,12.2
LNU04032183,2020,M08,2020 Aug,10.7
LNU04032183,2020,M09,2020 Sep,8.8
LNU04032183,2020,M10,2020 Oct,7.5
LNU04032183,2020,M11,2020 Nov,6.7
LNU04032183,2020,M12,2020 Dec,5.8
LNU04032183,2021,M01,2021 Jan,6.8
LNU04032183,2021,M02,2021 Feb,5.1
LNU04032183,2021,M03,2021 Mar,5.9
LNU04032183,2021,M04,2021 Apr,5.6
LNU04032183,2021,M05,2021 May,5.5
LNU04032183,2021,M06,2021 Jun,5.9
LNU04032183,2021,M07,2021 Jul,5.5
LNU04032183,2021,M08,2021 Aug,4.6
LNU04032183,2021,M09,2021 Sep,4.1
LNU04032183,2021,M10,2021 Oct,4.1
LNU04032183,2021,M11,2021 Nov,3.7
LNU04032183,2021,M12,2021 Dec,3.6
