Series ID,Year,Period,Label,Value
LNU04000006,2016,M01,2016 Jan,9.1
LNU04000006,2016,M02,2016 Feb,8.9
LNU04000006,2016,M03,2016 Mar,9.0
LNU04000006,2016,M04,2016 Apr,8.2
LNU04000006,2016,M05,2016 May,8.0
LNU04000006,2016,M06,2016 Jun,8.8
LNU04000006,2016,M07,2016 Jul,8.9
LNU04000006,2016,M08,2016 Aug,8.4
LNU04000006,2016,M09,2016 Sep,8.2
LNU04000006,2016,M10,2016 Oct,8.4
LNU04000006,2016,M11,2016 Nov,7.8
LNU04000006,2016,M12,2016 Dec,7.4
LNU04000006,2017,M01,2017 Jan,7.9
LNU04000006,2017,M02,2017 Feb,8.3
LNU04000006,2017,M03,2017 Mar,8.1
LNU04000006,2017,M04,2017 Apr,7.3
LNU04000006,2017,M05,2017 May,7.4
LNU04000006,2017,M06,2017 Jun,7.2
LNU04000006,2017,M07,2017 Jul,7.8
LNU04000006,2017,M08,2017 Aug,7.9
LNU04000006,2017,M09,2017 Sep,6.8
LNU04000006,2017,M10,2017 Oct,7.5
LNU04000006,2017,M11,2017 Nov,7.1
LNU04000006,2017,M12,2017 Dec,6.3
LNU04000006,2018,M01,2018 Jan,8.0
LNU04000006,2018,M02,2018 Feb,7.0
LNU04000006,2018,M03,2018 Mar,6.8
LNU04000006,2018,M04,2018 Apr,6.0
LNU04000006,2018,M05,2018 May,5.7
LNU04000006,2018,M06,2018 Jun,6.6
LNU04000006,2018,M07,2018 Jul,7.0
LNU04000006,2018,M08,2018 Aug,6.5
LNU04000006,2018,M09,2018 Sep,5.8
LNU04000006,2018,M10,2018 Oct,6.3
LNU04000006,2018,M11,2018 Nov,5.8
LNU04000006,2018,M12,2018 Dec,6.2
LNU04000006,2019,M01,2019 Jan,7.4
LNU04000006,2019,M02,2019 Feb,7.3
LNU04000006,2019,M03,2019 Mar,6.7
LNU04000006,2019,M04,2019 Apr,6.2
LNU04000006,2019,M05,2019 May,5.9
LNU04000006,2019,M06,2019 Jun,6.1
LNU04000006,2019,M07,2019 Jul,6.3
LNU04000006,2019,M08,2019 Aug,5.5
LNU04000006,2019,M09,2019 Sep,5.1
LNU04000006,2019,M10,2019 Oct,5.5
LNU04000006,2019,M11,2019 Nov,5.2
LNU04000006,2019,M12,2019 Dec,5.6
LNU04000006,2020,M01,2020 Jan,6.6
LNU04000006,2020,M02,2020 Feb,6.3
LNU04000006,2020,M03,2020 Mar,7.0
LNU04000006,2020,M04,2020 Apr,16.4
LNU04000006,2020,M05,2020 May,16.6
LNU04000006,2020,M06,2020 Jun,15.5
LNU04000006,2020,M07,2020 Jul,15.0
LNU04000006,2020,M08,2020 Aug,13.1
LNU04000006,2020,M09,2020 Sep,11.5
LNU04000006,2020,M10,2020 Oct,10.6
LNU04000006,2020,M11,2020 Nov,9.8
LNU04000006,2020,M12,2020 Dec,9.3
LNU04000006,2021,M01,2021 Jan,9.8
LNU04000006,2021,M02,2021 Feb,10.2
LNU04000006,2021,M03,2021 Mar,9.9
LNU04000006,2021,M04,2021 Apr,9.4
LNU04000006,2021,M05,2021 May,8.8
LNU04000006,2021,M06,2021 Jun,9.4
LNU04000006,2021,M07,2021 Jul,8.7
LNU04000006,2021,M08,2021 Aug,9.1
LNU04000006,2021,M09,2021 Sep,7.4
LNU04000006,2021,M10,2021 Oct,7.6
LNU04000006,2021,M11,2021 Nov,6.1
LNU04000006,2021,M12,2021 Dec,6.5
