Series ID,Year,Period,Label,Value
LNU00000000,2016,M01,2016 Jan,252397
LNU00000000,2016,M02,2016 Feb,252577
LNU00000000,2016,M03,2016 Mar,252768
LNU00000000,2016,M04,2016 Apr,252969
LNU00000000,2016,M05,2016 May,253174
LNU00000000,2016,M06,2016 Jun,253397
LNU00000000,2016,M07,2016 Jul,253620
LNU00000000,2016,M08,2016 Aug,253854
LNU00000000,2016,M09,2016 Sep,254091
LNU00000000,2016,M10,2016 Oct,254321
LNU00000000,2016,M11,2016 Nov,254540
LNU00000000,2016,M12,2016 Dec,254742
LNU00000000,2017,M01,2017 Jan,254082
LNU00000000,2017,M02,2017 Feb,254246
LNU00000000,2017,M03,2017 Mar,254414
LNU00000000,2017,M04,2017 Apr,254588
LNU00000000,2017,M05,2017 May,254767
LNU00000000,2017,M06,2017 Jun,254957
LNU00000000,2017,M07,2017 Jul,255151
LNU00000000,2017,M08,2017 Aug,255357
LNU00000000,2017,M09,2017 Sep,255562
LNU00000000,2017,M10,2017 Oct,255766
LNU00000000,2017,M11,2017 Nov,255949
LNU00000000,2017,M12,2017 Dec,256109
LNU00000000,2018,M01,2018 Jan,256780
LNU00000000,2018,M02,2018 Feb,256934
LNU00000000,2018,M03,2018 Mar,257097
LNU00000000,2018,M04,2018 Apr,257272
LNU00000000,2018,M05,2018 May,257454
LNU00000000,2018,M06,2018 Jun,257642
LNU00000000,2018,M07,2018 Jul,257843
LNU00000000,2018,M08,2018 Aug,258066
LNU00000000,2018,M09,2018 Sep,258290
LNU00000000,2018,M10,2018 Oct,258514
LNU00000000,2018,M11,2018 Nov,258708
LNU00000000,2018,M12,2018 Dec,258888
LNU00000000,2019,M01,2019 Jan,258239
LNU00000000,2019,M02,2019 Feb,258392
LNU00000000,2019,M03,2019 Mar,258537
LNU00000000,2019,M04,2019 Apr,258693
LNU00000000,2019,M05,2019 May,258861
LNU00000000,2019,M06,2019 Jun,259037
LNU00000000,2019,M07,2019 Jul,259225
LNU00000000,2019,M08,2019 Aug,259432
LNU00000000,2019,M09,2019 Sep,259638
LNU00000000,2019,M10,2019 Oct,259845
LNU00000000,2019,M11,2019 Nov,260020
LNU00000000,2019,M12,2019 Dec,260181
LNU00000000,2020,M01,2020 Jan,259502
LNU00000000,2020,M02,2020 Feb,259628
LNU00000000,2020,M03,2020 Mar,259758
LNU00000000,2020,M04,2020 Apr,259896
LNU00000000,2020,M05,2020 May,260047
LNU00000000,2020,M06,2020 Jun,260204
LNU00000000,2020,M07,2020 Jul,260373
LNU00000000,2020,M08,2020 Aug,260558
LNU00000000,2020,M09,2020 Sep,260742
LNU00000000,2020,M10,2020 Oct,260925
LNU00000000,2020,M11,2020 Nov,261085
LNU00000000,2020,M12,2020 Dec,261230
LNU00000000,2021,M01,2021 Jan,260851
LNU00000000,2021,M02,2021 Feb,260918
LNU00000000,2021,M03,2021 Mar,261003
LNU00000000,2021,M04,2021 Apr,261103
LNU00000000,2021,M05,2021 May,261210
LNU00000000,2021,M06,2021 Jun,261338
LNU00000000,2021,M07,2021 Jul,261469
LNU00000000,2021,M08,2021 Aug,261611
LNU00000000,2021,M09,2021 Sep,261766
LNU00000000,2021,M10,2021 Oct,261908
LNU00000000,2021,M11,2021 Nov,262029
LNU00000000,2021,M12,2021 Dec,262136
