Series ID,Year,Period,Label,Value
LNU04000003,2016,M01,2016 Jan,4.7
LNU04000003,2016,M02,2016 Feb,4.6
LNU04000003,2016,M03,2016 Mar,4.4
LNU04000003,2016,M04,2016 Apr,4.1
LNU04000003,2016,M05,2016 May,3.9
LNU04000003,2016,M06,2016 Jun,4.5
LNU04000003,2016,M07,2016 Jul,4.5
LNU04000003,2016,M08,2016 Aug,4.4
LNU04000003,2016,M09,2016 Sep,4.2
LNU04000003,2016,M10,2016 Oct,4.1
LNU04000003,2016,M11,2016 Nov,3.9
LNU04000003,2016,M12,2016 Dec,4.1
LNU04000003,2017,M01,2017 Jan,4.7
LNU04000003,2017,M02,2017 Feb,4.4
LNU04000003,2017,M03,2017 Mar,4.0
LNU04000003,2017,M04,2017 Apr,3.6
LNU04000003,2017,M05,2017 May,3.5
LNU04000003,2017,M06,2017 Jun,4.0
LNU04000003,2017,M07,2017 Jul,4.0
LNU04000003,2017,M08,2017 Aug,3.9
LNU04000003,2017,M09,2017 Sep,3.6
LNU04000003,2017,M10,2017 Oct,3.3
LNU04000003,2017,M11,2017 Nov,3.4
LNU04000003,2017,M12,2017 Dec,3.6
LNU04000003,2018,M01,2018 Jan,3.9
LNU04000003,2018,M02,2018 Feb,4.0
LNU04000003,2018,M03,2018 Mar,3.6
LNU04000003,2018,M04,2018 Apr,3.3
LNU04000003,2018,M05,2018 May,3.2
LNU04000003,2018,M06,2018 Jun,3.7
LNU04000003,2018,M07,2018 Jul,3.6
LNU04000003,2018,M08,2018 Aug,3.5
LNU04000003,2018,M09,2018 Sep,3.1
LNU04000003,2018,M10,2018 Oct,3.1
LNU04000003,2018,M11,2018 Nov,3.1
LNU04000003,2018,M12,2018 Dec,3.3
LNU04000003,2019,M01,2019 Jan,4.0
LNU04000003,2019,M02,2019 Feb,3.5
LNU04000003,2019,M03,2019 Mar,3.5
LNU04000003,2019,M04,2019 Apr,2.9
LNU04000003,2019,M05,2019 May,3.0
LNU04000003,2019,M06,2019 Jun,3.5
LNU04000003,2019,M07,2019 Jul,3.6
LNU04000003,2019,M08,2019 Aug,3.5
LNU04000003,2019,M09,2019 Sep,3.1
LNU04000003,2019,M10,2019 Oct,3.0
LNU04000003,2019,M11,2019 Nov,3.0
LNU04000003,2019,M12,2019 Dec,3.0
LNU04000003,2020,M01,2020 Jan,3.5
LNU04000003,2020,M02,2020 Feb,3.4
LNU04000003,2020,M03,2020 Mar,4.1
LNU04000003,2020,M04,2020 Apr,13.8
LNU04000003,2020,M05,2020 May,12.1
LNU04000003,2020,M06,2020 Jun,10.2
LNU04000003,2020,M07,2020 Jul,9.4
LNU04000003,2020,M08,2020 Aug,7.5
LNU04000003,2020,M09,2020 Sep,6.8
LNU04000003,2020,M10,2020 Oct,5.7
LNU04000003,2020,M11,2020 Nov,5.7
LNU04000003,2020,M12,2020 Dec,5.9
LNU04000003,2021,M01,2021 Jan,6.2
LNU04000003,2021,M02,2021 Feb,5.9
LNU04000003,2021,M03,2021 Mar,5.5
LNU04000003,2021,M04,2021 Apr,5.0
LNU04000003,2021,M05,2021 May,4.8
LNU04000003,2021,M06,2021 Jun,5.4
LNU04000003,2021,M07,2021 Jul,5.0
LNU04000003,2021,M08,2021 Aug,4.6
LNU04000003,2021,M09,2021 Sep,4.0
LNU04000003,2021,M10,2021 Oct,3.6
LNU04000003,2021,M11,2021 Nov,3.4
LNU04000003,2021,M12,2021 Dec,3.1
