Label,Year,Period,Black,White,Asian
2016 Jan,2016,01,9.1,4.7,3.7
2016 Feb,2016,02,8.9,4.6,3.9
2016 Mar,2016,03,9.0,4.4,3.9
2016 Apr,2016,04,8.2,4.1,3.6
2016 May,2016,05,8.0,3.9,3.9
2016 Jun,2016,06,8.8,4.5,3.7
2016 Jul,2016,07,8.9,4.5,4.1
2016 Aug,2016,08,8.4,4.4,4.2
2016 Sep,2016,09,8.2,4.2,3.8
2016 Oct,2016,10,8.4,4.1,3.3
2016 Nov,2016,11,7.8,3.9,3.0
2016 Dec,2016,12,7.4,4.1,2.6
2017 Jan,2017,01,7.9,4.7,3.8
2017 Feb,2017,02,8.3,4.4,3.5
2017 Mar,2017,03,8.1,4.0,3.2
2017 Apr,2017,04,7.3,3.6,3.1
2017 May,2017,05,7.4,3.5,3.5
2017 Jun,2017,06,7.2,4.0,3.8
2017 Jul,2017,07,7.8,4.0,4.0
2017 Aug,2017,08,7.9,3.9,4.0
2017 Sep,2017,09,6.8,3.6,3.5
2017 Oct,2017,10,7.5,3.3,2.9
2017 Nov,2017,11,7.1,3.4,3.0
2017 Dec,2017,12,6.3,3.6,2.4
2018 Jan,2018,01,8.0,3.9,3.1
2018 Feb,2018,02,7.0,4.0,3.0
2018 Mar,2018,03,6.8,3.6,3.0
2018 Apr,2018,04,6.0,3.3,2.7
2018 May,2018,05,5.7,3.2,2.0
2018 Jun,2018,06,6.6,3.7,3.4
2018 Jul,2018,07,7.0,3.6,3.3
2018 Aug,2018,08,6.5,3.5,3.0
2018 Sep,2018,09,5.8,3.1,3.5
2018 Oct,2018,10,6.3,3.1,3.1
2018 Nov,2018,11,5.8,3.1,2.7
2018 Dec,2018,12,6.2,3.3,3.1
2019 Jan,2019,01,7.4,4.0,3.2
2019 Feb,2019,02,7.3,3.5,3.2
2019 Mar,2019,03,6.7,3.5,3.0
2019 Apr,2019,04,6.2,2.9,2.1
2019 May,2019,05,5.9,3.0,2.3
2019 Jun,2019,06,6.1,3.5,2.3
2019 Jul,2019,07,6.3,3.6,3.0
2019 Aug,2019,08,5.5,3.5,2.9
2019 Sep,2019,09,5.1,3.1,2.4
2019 Oct,2019,10,5.5,3.0,2.8
2019 Nov,2019,11,5.2,3.0,2.6
2019 Dec,2019,12,5.6,3.0,2.4
2020 Jan,2020,01,6.6,3.5,3.2
2020 Feb,2020,02,6.3,3.4,2.5
2020 Mar,2020,03,7.0,4.1,4.1
2020 Apr,2020,04,16.4,13.8,14.3
2020 May,2020,05,16.6,12.1,14.8
2020 Jun,2020,06,15.5,10.2,13.9
2020 Jul,2020,07,15.0,9.4,12.2
2020 Aug,2020,08,13.1,7.5,10.7
2020 Sep,2020,09,11.5,6.8,8.8
2020 Oct,2020,10,10.6,5.7,7.5
2020 Nov,2020,11,9.8,5.7,6.7
2020 Dec,2020,12,9.3,5.9,5.8
2021 Jan,2021,01,9.8,6.2,6.8
2021 Feb,2021,02,10.2,5.9,5.1
2021 Mar,2021,03,9.9,5.5,5.9
2021 Apr,2021,04,9.4,5.0,5.6
2021 May,2021,05,8.8,4.8,5.5
2021 Jun,2021,06,9.4,5.4,5.9
2021 Jul,2021,07,8.7,5.0,5.5
2021 Aug,2021,08,9.1,4.6,4.6
2021 Sep,2021,09,7.4,4.0,4.1
2021 Oct,2021,10,7.6,3.6,4.1
2021 Nov,2021,11,6.1,3.4,3.7
2021 Dec,2021,12,6.5,3.1,3.6
