Label,Year,Period,Value
2016 Jan,2016,01,5.3
2016 Feb,2016,02,5.2
2016 Mar,2016,03,5.1
2016 Apr,2016,04,4.7
2016 May,2016,05,4.5
2016 Jun,2016,06,5.1
2016 Jul,2016,07,5.1
2016 Aug,2016,08,5.0
2016 Sep,2016,09,4.8
2016 Oct,2016,10,4.7
2016 Nov,2016,11,4.4
2016 Dec,2016,12,4.5
2017 Jan,2017,01,5.1
2017 Feb,2017,02,4.9
2017 Mar,2017,03,4.6
2017 Apr,2017,04,4.1
2017 May,2017,05,4.1
2017 Jun,2017,06,4.5
2017 Jul,2017,07,4.6
2017 Aug,2017,08,4.5
2017 Sep,2017,09,4.1
2017 Oct,2017,10,3.9
2017 Nov,2017,11,3.9
2017 Dec,2017,12,3.9
2018 Jan,2018,01,4.5
2018 Feb,2018,02,4.4
2018 Mar,2018,03,4.1
2018 Apr,2018,04,3.7
2018 May,2018,05,3.6
2018 Jun,2018,06,4.2
2018 Jul,2018,07,4.1
2018 Aug,2018,08,3.9
2018 Sep,2018,09,3.6
2018 Oct,2018,10,3.5
2018 Nov,2018,11,3.5
2018 Dec,2018,12,3.7
2019 Jan,2019,01,4.4
2019 Feb,2019,02,4.1
2019 Mar,2019,03,3.9
2019 Apr,2019,04,3.3
2019 May,2019,05,3.4
2019 Jun,2019,06,3.8
2019 Jul,2019,07,4.0
2019 Aug,2019,08,3.8
2019 Sep,2019,09,3.3
2019 Oct,2019,10,3.3
2019 Nov,2019,11,3.3
2019 Dec,2019,12,3.4
2020 Jan,2020,01,4.0
2020 Feb,2020,02,3.8
2020 Mar,2020,03,4.5
2020 Apr,2020,04,14.4
2020 May,2020,05,13.0
2020 Jun,2020,06,11.2
2020 Jul,2020,07,10.5
2020 Aug,2020,08,8.5
2020 Sep,2020,09,7.7
2020 Oct,2020,10,6.6
2020 Nov,2020,11,6.4
2020 Dec,2020,12,6.5
2021 Jan,2021,01,6.8
2021 Feb,2021,02,6.6
2021 Mar,2021,03,6.2
2021 Apr,2021,04,5.7
2021 May,2021,05,5.5
2021 Jun,2021,06,6.1
2021 Jul,2021,07,5.7
2021 Aug,2021,08,5.3
2021 Sep,2021,09,4.6
2021 Oct,2021,10,4.3
2021 Nov,2021,11,3.9
2021 Dec,2021,12,3.7
